"nr","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"164","PYF","2020",1.705,61.975,,,,2500,,106.04,266.364,,"French Polynesia",301920
"165","QAT","2020",1.816,99.235,,,,21000,,153.77,238.095238095238,58370,"Qatar",2760385
"166","ROU","2020",1.6,54.194,,,,8915000,,86.39,82.8326416152552,12700,"Romania",19265250
"167","RUS","2020",1.505,74.754,,,,121649000,,110.94,25.3278119836579,10740,"Russian Federation",144073139
"168","RWA","2020",3.873,17.432,,,,1151700,,101.22,25.8954675696796,760,"Rwanda",13146362
"169","SAU","2020",2.465,84.287,,,,3430416.9,2.31112003326416,142.81,87.6278332234196,21540,"Saudi Arabia",35997107
"170","SDN","2020",4.542,35.253,,,,20994840,,105.63,7.10308818738319,630,"Sudan",44440486
"171","SEN","2020",4.454,48.122,,,,3200000,,120.24,25.271775,1460,"Senegal",16436120
"172","SGP","2020",1.1,100,,,,560,,172.01,,55010,"Singapore",5685807
"173","SLB","2020",4.038,24.67,,,,20000,,102.09,,2340,"Solomon Islands",691191
"174","SLE","2020",4.08,42.923,,,,1584000,,101.88,,490,"Sierra Leone",8233970
"175","SLV","2020",1.819,73.444,,,,721000,,97.3,80.9652427184466,3740,"El Salvador",6292731
"176","SMR","2020",,97.499,,,,1985,,,,41450,"San Marino",34007
"177","SOM","2020",6.417,46.141,,,,1100000,,99.69,,410,"Somalia",16537016
"178","SRB","2020",1.48,56.446,,,,2604000,,105.78,160.313997695853,7440,"Serbia",6899126
"179","SSD","2020",4.543,20.199,,,,2394700,,103.14,,,"South Sudan",10606227
"180","STP","2020",3.893,74.354,,,,4000,,98.74,,2100,"Sao Tome and Principe",218641
"181","SUR","2020",2.371,66.149,,,,62000,,108.67,128.193709677419,4500,"Suriname",607065
"182","SVK","2020",1.57,53.76,,,,1346000,,100.98,129.811374442793,19180,"Slovak Republic",5458827
"183","SVN","2020",1.6,55.118,,,,181030,,104.03,255.819477434679,25400,"Slovenia",2102419
"184","SWE","2020",1.66,87.977,,,,2538550,,100.15,116.969529849717,54740,"Sweden",10353442
"185","SWZ","2020",2.89,24.171,,,,175000,,101.2,,3360,"Eswatini",1180655
"186","SXM","2020",,100,,,,,,,,,"Sint Maarten (Dutch part)",42310
"187","SYC","2020",2.29,57.546,,,,150,,96.23,542.466666666667,14040,"Seychelles",98462
"188","SYR","2020",2.798,55.475,,,,4662000,,100.06,6.63899184899185,760,"Syrian Arab Republic",20772595
"189","TCA","2020",1.679,93.605,,,,1000,,,,19610,"Turks and Caicos Islands",44276
"190","TCD","2020",6.346,23.52,,,,5200000,,128.82,,630,"Chad",16644701
"191","TGO","2020",4.323,42.8,,,,2650000,,118.5,2.67603773584906,900,"Togo",8442580
"192","THA","2020",1.341,51.43,,,,16810000,,100.13,143.194996430696,6900,"Thailand",71475664
"193","TJK","2020",3.237,27.506,,,,839400,,151.44,96.747116988325,1050,"Tajikistan",9543207
"194","TKM","2020",2.701,52.516,,,,1940000,,94.67,167.569762886598,,"Turkmenistan",6250438
"195","TLS","2020",3.247,31.32,,,,111500,,107.25,,2100,"Timor-Leste",1299995
"196","TON","2020",3.267,23.099,,,,20000,,98.97,11.854,5200,"Tonga",105254
"197","TTO","2020",1.631,53.214,,,,25000,,104.69,328,13830,"Trinidad and Tobago",1518147
"198","TUN","2020",2.114,69.568,,,,2595000,,99.55,56.5317919075145,3230,"Tunisia",12161723
"199","TUR","2020",1.917,76.105,,,,19586000,,110.64,149.642040232819,9070,"Turkiye",84135428
"200","TUV","2020",3.188,64.014,,,,,,105.54,,6750,"Tuvalu",11069
"201","TZA","2020",4.795,35.227,,,,13502500,,135.73,16.4433475282355,1050,"Tanzania",61704518
"202","UGA","2020",4.693,24.954,,,,6900000,,101.02,2.44235507246377,740,"Uganda",44404611
"203","UKR","2020",1.217,69.608,,,,32924000,,94.55,75.5888409670757,3570,"Ukraine",44132049
"204","URY","2020",1.477,95.515,,,,2024400,,96.99,203.091478956728,15950,"Uruguay",3429086
"205","USA","2020",1.6375,82.664,,,,157736800,14.4822702407837,111.14,126.155961132722,64650,"United States",331501080
"206","UZB","2020",2.9,50.416,,,,4023000,,113.98,254.510067114094,1740,"Uzbekistan",34232050
"207","VCT","2020",1.814,53.032,,,,2000,,95.39,,8260,"St. Vincent and the Grenadines",104632
"208","VEN","2020",2.23,88.279,,,,2600000,,82.34,124.846153846154,,"Venezuela, RB",28490453
"209","VGB","2020",0.976,48.515,,,,1000,,,,,"British Virgin Islands",30910
"210","VIR","2020",2.03,95.939,,,,900,,,,,"Virgin Islands (U.S.)",106290
"211","VNM","2020",1.955,37.34,,,,6787000,,115.04,467.655616620009,3450,"Vietnam",96648685
"212","VUT","2020",3.778,25.525,,,,20000,,78.71,,3180,"Vanuatu",311685
"213","WSM","2020",3.997,17.889,,,,11290,,75.9,2.47298494242693,4000,"Samoa",214929
"214","XKX","2020",1.529,,,,,,,,,4440,"Kosovo",1790133
"215","YEM","2020",3.886,37.908,,,,1158000,,107.7,10.6289637305699,,"Yemen, Rep.",32284046
"216","ZAF","2020",2.401,67.354,,,,12000000,,104.56,63.4916666666667,6090,"South Africa",58801927
"217","ZMB","2020",4.379,44.629,,,,3800000,,109.44,79.7640394736842,1130,"Zambia",18927715
"218","ZWE","2020",3.545,32.242,,,,4000000,,98.1,33.2,1460,"Zimbabwe",15669666
